Des-I,Des-O,SIGLADES,Fecha-I,Vlo-I,Ori-I,Emp-I,Fecha-O,Vlo-O,Ori-O,Emp-O,DIA,MES,AÑO,DIANOM,TIPOVUELO,OPERA,SIGLAORI
KIAH,KIAD,Washington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KJFK,KMIA,Miami,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SABE,SAEZ,Buenos Aires,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SAEZ,SABE,Buenos Aires,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SBGR,SBGL,Rio de Janeiro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCBA,SCTE,Puerto Montt,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SCCI,SCTE,Puerto Montt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCFA,SCCF,Calama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCIE,SCQP,Temuco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCIE,SCTE,Puerto Montt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCTE,SCCI,Punta Arenas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCTE,SCQP,Temuco,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SEGU,SABE,Buenos Aires,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YSSY,YMML,Melbourne,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
